pre,level
0.531955037,1
0.612774915,0
0.630661687,1
0.508333031,0
0.575916168,0
0.495419262,0
0.533635022,1
0.51285796,1
0.51621358,0
0.526584236,0
0.514963045,1
0.530955361,1
0.553785017,1
0.567207426,1
0.521305704,0
0.628085127,1
0.498457587,0
0.597090658,0
0.516565926,1
0.527671659,1
0.558093502,0
0.55784293,0
0.592370572,0
0.531332292,1
0.544709368,0
0.544321228,1
0.517886418,1
0.616939876,1
0.518247408,0
0.541548302,1
0.613497685,1
0.497407326,0
0.559590122,1
0.577111721,0
0.507650079,1
0.527842937,0
0.501725855,0
0.630055414,0
0.512915212,1
0.5849693,0
0.582160814,1
0.560426588,1
0.591685917,1
0.619081917,1
0.603500827,1
0.542668768,0
0.607459379,1
0.53495897,0
0.542672383,0
0.549440893,0
0.499778661,1
0.62216054,0
0.605284326,1
0.579838253,0
0.597716737,1
0.630674996,0
0.515993995,1
0.518824235,0
0.588597985,1
0.612868194,1
0.522950391,1
0.623302963,0
0.591769604,1
0.513824447,0
0.596806684,0
0.508226331,1
0.51124157,1
0.568939904,0
0.524054845,0
0.565938746,0
0.514763736,1
0.617091931,1
0.551143959,1
0.6317604,0
0.621544096,1
0.529728972,1
0.566783543,0
0.622424631,1
0.51414503,0
0.625122391,0
0.62635544,1
0.590224494,1
0.555930314,1
0.511947539,0
0.49739765,0
0.505379952,1
0.491856242,1
0.573426395,0
0.619202331,1
0.561313001,0
0.616672123,1
0.565897522,1
0.559372121,1
0.604336115,1
0.495368499,0
0.618053902,1
0.619095278,1
0.514686156,1
0.569706992,0
0.513373361,1
0.600608166,0
0.58188311,1
0.631110947,0
0.518332848,0
0.520173653,0
0.502331104,0
0.598880022,1
0.508619209,1
0.498660314,0
0.565195018,0
0.602647351,0
0.565748858,0
0.590591925,0
0.589892518,1
0.590805342,0
0.52018913,0
0.607048284,1
0.627988118,0
0.539688375,1
0.511871268,0
0.5951969,0
0.546991292,1
0.592585607,0
0.530673645,0
0.528740811,0
0.537228546,0
0.621624013,1
0.516075131,0
0.533505625,0
0.59360199,1
0.524475783,1
0.581700464,1
0.602757153,1
0.520767657,1
0.638657835,1
0.569437095,1
0.606793168,0
0.634601716,1
0.526930545,1
0.501395524,1
0.583736553,1
0.623320126,1
0.543566363,1
0.550474313,1
0.523890636,1
0.501341575,0
0.51264353,0
0.497139673,1
0.50851414,0
0.506832189,1
0.563669923,1
0.529039438,1
0.560206727,0
0.56292282,0
0.60537463,0
0.565934498,0
0.553849896,0
0.594643278,0
0.55794669,1
0.511044645,0
0.532997103,1
0.524833257,0
0.520987378,0
0.570068596,1
0.575437602,1
0.537442861,1
0.564874641,1
0.580201401,1
0.497927593,1
0.515960071,1
